"id","name","sequence","auto_apply","ar_fiscal_position_id","country_id"
"fiscal_position_ivari","IVA Responsable Inscripto","1","True","l10n_ar.ar_fiscal_position_ivari","base.ar"
"fiscal_position_cf","Consumidor Final","2","","l10n_ar.ar_fiscal_position_cf","base.ar"
"fiscal_position_ex","IVA Exento","3","","l10n_ar.ar_fiscal_position_ex","base.ar"
"fiscal_position_mon","Responsable Monotributo","4","","l10n_ar.ar_fiscal_position_mon","base.ar"
"fiscal_position_cliente_ext","Cliente del Exterior","5","","l10n_ar.ar_fiscal_position_cliente_ext","base.ar"
"fiscal_position_prov_ext","Proveedor del Exterior","6","","l10n_ar.ar_fiscal_position_prov_ext","base.ar"
"fiscal_position_aduana","Aduana","7","","l10n_ar.ar_fiscal_position_aduana","base.ar"
"fiscal_position_ivari_m","IVA Responsable Inscripto - Factura M","8","","l10n_ar.ar_fiscal_position_ivari_m","base.ar"
"fiscal_position_ivarni","IVA Responsable no Inscripto","9","","l10n_ar.ar_fiscal_position_ivarni","base.ar"
"fiscal_position_other","Otro","10","","l10n_ar.ar_fiscal_position_other","base.ar"
"fiscal_position_ivanor","IVA no Responsable","11","","l10n_ar.ar_fiscal_position_ivanor","base.ar"
"fiscal_position_no_categ","Sujeto no Categorizado","12","","l10n_ar.ar_fiscal_position_no_categ","base.ar"
"fiscal_position_ivalib","IVA Liberado","13","","l10n_ar.ar_fiscal_position_ivalib","base.ar"
"fiscal_position_ivari_perception","IVA Responsable Inscripto – Agente de Percepción","14","","l10n_ar.ar_fiscal_position_ivari_perception","base.ar"
"fiscal_position_peq_contr","Pequeño Contribuyente Eventual","15","","l10n_ar.ar_fiscal_position_peq_contr","base.ar"
"fiscal_position_mono_social","Monotributista Social","16","","l10n_ar.ar_fiscal_position_mono_social","base.ar"
"fiscal_position_peq_contr_social","Pequeño Contribuyente Eventual Social","17","","l10n_ar.ar_fiscal_position_peq_contr_social","base.ar"
"fiscal_position_iva_no_alc","IVA No Alcanzado","18","","l10n_ar.ar_fiscal_position_iva_no_alc","base.ar"
