"id","name","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","sequence","is_vat","is_exempt","tax_group_id","perception_id","retention_id","repartition_line_ids/document_type","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"vat_21_ventas","IVA Ventas 21%","IVA Ventas 21%","IVA Ventas 21%","sale","","percent","21.0","0","True","False","tax_group_vat_21","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_debito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_debito_fiscal","100.0"
"vat_21_compras","IVA Compras 21%","IVA Compras 21%","IVA Compras 21%","purchase","","percent","21.0","0","True","False","tax_group_vat_21","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_credito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_credito_fiscal","100.0"
"vat_105_ventas","IVA Ventas 10,5%","IVA Ventas 10,5%","IVA Ventas 10,5%","sale","","percent","10.5","1","True","False","tax_group_vat_10_5","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_debito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_debito_fiscal","100.0"
"vat_27_ventas","IVA Ventas 27%","IVA Ventas 27%","IVA Ventas 27%","sale","","percent","27.0","1","True","False","tax_group_vat_27","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_debito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_debito_fiscal","100.0"
"vat_25_ventas","IVA Ventas 2,5%","IVA Ventas 2,5%","IVA Ventas 2,5%","sale","","percent","2.5","1","True","False","tax_group_vat_2_5","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_debito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_debito_fiscal","100.0"
"vat_5_ventas","IVA Ventas 5%","IVA Ventas 5%","IVA Ventas 5%","sale","","percent","5.0","1","True","False","tax_group_vat_5","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_debito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_debito_fiscal","100.0"
"vat_0_ventas","IVA Ventas 0%","IVA Ventas 0%","IVA Ventas 0%","sale","","percent","0.0","1","True","False","tax_group_vat_0","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_debito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_debito_fiscal","100.0"
"vat_exento_ventas","IVA Ventas Exento","IVA Ventas Exento","IVA Ventas Exento","sale","","fixed","0.0","1","True","True","tax_group_vat_exempt","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_debito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_debito_fiscal","100.0"
"vat_no_gravado_ventas","Ventas No gravado","Ventas No gravado","Ventas No gravado","sale","","fixed","0.0","1","False","False","tax_group_ng","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_debito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_debito_fiscal","100.0"
"vat_27_compras","IVA Compras 27%","IVA Compras 27%","IVA Compras 27%","purchase","","percent","27.0","1","True","False","tax_group_vat_27","","","invoice","base","","100.0"
"","","","","","","","","","","","","","","refund","base","","100.0"
"","","","","","","","","","","","","","","invoice","tax","iva_credito_fiscal","100.0"
"","","","","","","","","","","","","","","refund","tax","iva_credito_fiscal","100.0"
