"id","name"
"tax_group_taxes","IVA 0%"
"tax_group_vat_0","IVA 0%"
"tax_group_vat_2_5","IVA 2,5%"
"tax_group_vat_5","IVA 5%"
"tax_group_vat_10_5","IVA 10,5%"
"tax_group_vat_21","IVA 21%"
"tax_group_vat_27","IVA 27%"
"tax_group_vat_exempt","IVA Exento"
"tax_group_ng","No gravado"
"tax_group_enard","Enard"
"tax_group_internal","Impuestos internos"
"tax_group_perception_vat","Percepción IVA"
"tax_group_perception_iibb_pba","Percepción IIBB PBA"
"tax_group_perception_iibb_caba","Percepción IIBB CABA"
"tax_group_perception_iibb_tucuman","Percepción IIBB Tucumán"
"tax_group_perception_iibb_misiones","Percepción IIBB Misiones"
"tax_group_perception_iibb_chaco","Percepción IIBB Chaco"
"tax_group_perception_iibb_mendoza","Percepción IIBB Mendoza"
"tax_group_perception_iibb_misiones","Percepción IIBB Misiones"
"tax_group_perception_iibb_neuquen","Percepción IIBB Neuquén"
"tax_group_perception_iibb_chubut","Percepción IIBB Chubut"
"tax_group_perception_iibb_la_pampa","Percepción IIBB La Pampa"
"tax_group_perception_iibb_san_luis","Percepción IIBB San Luis"
"tax_group_perception_iibb_santa_fe","Percepción IIBB Santa Fe"
"tax_group_perception_iibb_cordoba","Percepción IIBB Córdoba"
"tax_group_perception_iibb_entre_rios","Percepción IIBB Entre Ríos"
"tax_group_perception_iibb_jujuy","Percepción IIBB Jujuy"
"tax_group_perception_iibb_salta","Percepción IIBB Salta"
"tax_group_perception_iibb_san_juan","Percepción IIBB San Juan"
"tax_group_perception_iibb_corrientes","Percepción IIBB Corrientes"
"tax_group_perception_iibb_tierra_del_fuego","Percepción IIBB Tierra del Fuego"
"tax_group_perception_iibb_formosa","Percepción IIBB Formosa"
"tax_group_perception_profit","Percepción Ganancias"
"tax_group_retention_vat","Retención IVA"
"tax_group_retention_iibb_pba","Retención IIBB PBA"
"tax_group_retention_iibb_caba","Retención IIBB CABA"
"tax_group_retention_iibb_tucuman","Retención IIBB Tucumán"
"tax_group_retention_profit","Retención Ganancias"
"tax_group_retention_iibb_misiones","Retención IIBB Misiones"
"tax_group_retention_iibb_chaco","Retención IIBB Chaco"
"tax_group_retention_iibb_chubut","Retención IIBB Chubut"
"tax_group_retention_iibb_corrientes","Retención IIBB Corrientes"
"tax_group_retention_iibb_cordoba","Retención IIBB Córdoba"
"tax_group_retention_iibb_entre_rios","Retención IIBB Entre Ríos"
"tax_group_retention_iibb_jujuy","Retención IIBB Jujuy"
"tax_group_retention_iibb_la_pampa","Retención IIBB La Pampa"
"tax_group_retention_iibb_mendoza","Retención IIBB Mendoza"
"tax_group_retention_iibb_misiones","Retención IIBB Misiones"
"tax_group_retention_iibb_neuquen","Retención IIBB Neuquén"
"tax_group_retention_iibb_rio_negro","Retención IIBB Río Negro"
"tax_group_retention_iibb_salta","Retención IIBB Salta"
"tax_group_retention_iibb_san_luis","Retención IIBB San Luis"
"tax_group_retention_iibb_santa_fe","Retención IIBB Santa Fe"
"tax_group_retention_iibb_tierra_del_fuego","Retención IIBB Tierra del Fuego"
